jar_name,mod_id,mod_name,version,side,category,adds_bosses,boss_count,adds_structures,structure_count,adds_dimensions,dimension_count,adds_biomes,biome_count,adds_mobs,mob_count,adds_loot_tables,loot_table_count,adds_recipes,recipe_count,worldgen_risk,performance_risk,balance_risk,notes
lootintegration_townsandtowers-1.3.jar,"lootintegration_townsandtowers, lootintegration_townsandtowers",lootintegration_townsandtowers mod,1,Both,"Compatibilidad, Loot / recompensas",false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
lootintegration_wda-1.8.jar,"lootintegration_wda, lootintegration_wda",lootintegration_wda mod,1,Both,"Compatibilidad, Loot / recompensas",false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
lootintegrations-1.20.1-4.7.jar,lootintegrations,Lootintegrations mod,${file.jarVersion},Both,"Compatibilidad, Loot / recompensas",false,0,false,0,false,0,false,0,false,0,true,7,false,0,Bajo,Bajo,Bajo,No confirmado
lootintegrations_borninchaos-1.0.jar,"lootintegrations_borninchaos, lootintegrations_borninchaos",lootintegrations_borninchaos mod,1.0,Both,"Compatibilidad, Loot / recompensas",false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
lootintegrations_cataclysm-1.2.jar,"lootintegrations_cataclysm, lootintegrations_cataclysm",lootintegrations_cataclysm mod,1,Both,"Compatibilidad, Loot / recompensas",false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Medio,Bajo,No confirmado
lootintegrations_ctov-1.4.jar,"lootintegrations_ctov, lootintegrations_ctov",lootintegrations_ctov mod,1,Both,"Compatibilidad, Loot / recompensas",false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
lootintegrations_dnt-2.5.jar,"lootintegrations_dnt, lootintegrations_dnt",lootintegrations_dnt mod,1,Both,"Compatibilidad, Loot / recompensas",false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
lootintegrations_formations-1.3.jar,"lootintegrations_formations, lootintegrations_formations",lootintegrations_formations mod,1,Both,"Compatibilidad, Loot / recompensas",false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
lootintegrations_graveyard-1.1.jar,"lootintegrations_graveyard, lootintegrations_graveyard",lootintegrations_graveyard mod,1,Both,"Compatibilidad, Loot / recompensas",false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
lootintegrations_iceandfire-1.2.jar,"lootintegrations_iceandfire, lootintegrations_iceandfire",lootintegrations_iceandfire mod,1.2,Both,"Compatibilidad, Loot / recompensas",false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Medio,Bajo,No confirmado
lootintegrations_moog-2.0.jar,"lootintegrations_moog, lootintegrations_moog",lootintegrations_moog mod,1,Both,"Compatibilidad, Loot / recompensas",false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
lootintegrations_phillipsruins-1.3.jar,"lootintegrations_phillipsruins, lootintegrations_phillipsruins",lootintegrations_phillipsruins mod,1,Both,"Compatibilidad, Loot / recompensas",false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
lootintegrations_structory-1.4.jar,"lootintegrations_structory, lootintegrations_structory",lootintegrations_structory mod,1,Both,"Compatibilidad, Loot / recompensas",false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
lootintegrations_vanilla-1.6.jar,"lootintegrations_vanilla, lootintegrations_vanilla",lootintegrations_vanilla mod,1,Both,"Compatibilidad, Loot / recompensas",false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
lootintegrations_yungs-1.5.jar,"lootintegrations_yungs, lootintegrations_yungs",lootintegrations_yungs mod,1,Both,"Compatibilidad, Loot / recompensas",false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
lost_aether_content-1.20.1-1.2.3.jar,lost_aether_content,Aether: Lost Content,${file.jarVersion},Both,"Armas / armaduras / herramientas, Dungeons, Estructuras, Loot / recompensas, ... (+2)",true,1,true,3,false,0,false,0,true,5,true,24,true,19,Medio,Bajo,Medio,Confirmado por archivos internos: contiene features/biome modifiers/worldgen modifiers.
medieval_buildings_nether_edition-1.20.1-1.0.2-forge.jar,medieval_nether,Medieval Buildings [The Nether Edition],1.0.2,Both,"Estructuras, Loot / recompensas",false,0,true,6,false,0,false,0,false,0,true,10,false,0,Bajo,Bajo,Bajo,Incluye jar-in-jar: mixinextras
melody_forge_1.0.3_MC_1.20.1-1.20.4.jar,melody,Melody,1.0.2,Client only,"Cliente visual / HUD / UI, Librerias / dependencias",false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
MindfulDarkness-v8.0.3-1.20.1-Forge.jar,mindfuldarkness,Mindful Darkness,8.0.3,Client only,No confirmado,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
miningspeedtooltips-forge-1.0.0-1.20.1.jar,"miningspeedtooltips, miningspeedtooltips",Mining Speed Tooltips,1.0.0,Client only,No confirmado,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
mobtimizations-forge-1.20.1-1.0.1.jar,mobtimizations,Mobtimizations,1.20.1-1.0.1,Both,Performance,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
modernfix-forge-5.27.44+mc1.20.1.jar,modernfix,ModernFix,5.27.44+mc1.20.1,Both,Performance,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,Incluye jar-in-jar: mixinextras
moogs_structure_lib-1.1.0-1.20-1.20.4-forge.jar,moogs_structures,Moog's Structure Lib,1.1.0-1.20-1.20.4,Both,Estructuras,false,0,true,1,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,"Confirmado por archivos internos: anade/modifica estructuras, sin evidencia de terreno base."
MoogsEndStructures-1.20-2.0.3.jar,"mes, mes",MoogsEndStructures,2.0.3,Both,"Estructuras, Loot / recompensas",false,0,true,79,false,0,false,0,false,0,true,8,false,0,Bajo,Medio,Bajo,"Confirmado por archivos internos: anade/modifica estructuras, sin evidencia de terreno base."
MoogsMissingVillages-1.20-2.1.1.jar,"mmv, mmv",MoogsMissingVillages,2.1.1,Both,"Estructuras, Loot / recompensas",false,0,true,214,false,0,false,0,false,0,true,10,false,0,Bajo,Medio,Bajo,"Confirmado por archivos internos: anade/modifica estructuras, sin evidencia de terreno base."
MoogsNetherStructures-1.20-2.0.4.jar,"mns, mns",MoogsNetherStructures,2.0.4,Both,"Estructuras, Loot / recompensas",false,0,true,78,false,0,false,0,false,0,true,4,false,0,Bajo,Medio,Bajo,"Confirmado por archivos internos: anade/modifica estructuras, sin evidencia de terreno base."
moonlight-1.20-2.16.33-forge.jar,moonlight,Moonlight Library,1.20-2.16.33,Both,Librerias / dependencias,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
morehitboxes-forge-1.20.1-1.9.2.jar,morehitboxes,morehitboxes,1.9.2,Both,Combate,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,Incluye jar-in-jar: mixinextras
morevillagers-forge-1.20.1-5.0.0.jar,morevillagers,More Villagers,5.0.0,Both,"Combate, Estructuras, Loot / recompensas, Mobs, ... (+1)",false,0,true,25,false,0,false,0,true,16,true,10,true,8,Bajo,Bajo,Bajo,"Confirmado por archivos internos: anade/modifica estructuras, sin evidencia de terreno base."
MouseTweaks-forge-mc1.20.1-2.25.1.jar,mousetweaks,Mouse Tweaks,${file.jarVersion},Client only,Cliente visual / HUD / UI,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
mowzies_cataclysm-1.2.1.jar,mowzies_cataclysm,Mowzie's Cataclysm,1.2.1,Both,QoL,false,0,false,0,false,0,false,0,false,0,false,0,true,4,Bajo,Medio,Bajo,No confirmado
mowziesmobs-1.8.2.jar,mowziesmobs,Mowzie's Mobs,1.8.2,Both,"Armas / armaduras / herramientas, Bosses, Estructuras, Loot / recompensas, ... (+2)",true,1,true,114,false,0,false,0,true,47,true,26,true,12,Medio,Medio,Alto,Confirmado por archivos internos: contiene features/biome modifiers/worldgen modifiers.
musicbox-forge-2.0.2+1.20.1.jar,musicbox,Music Box,2.0.2,Both,Armas / armaduras / herramientas,false,0,false,0,false,0,false,0,false,0,false,0,true,1,Bajo,Bajo,Bajo,No confirmado
mysticaloaktree-1.20-1.11.jar,mysticaloaktree,Mystical Oak Tree,1.20-1.11,Both,"Loot / recompensas, Worldgen / biomas / terreno",false,0,false,0,false,0,false,0,false,0,true,1,false,0,Medio,Bajo,Bajo,Confirmado por archivos internos: contiene features/biome modifiers/worldgen modifiers.
mythsandlegends-0.0.8.8.jar,mythsandlegends,Myths & Legends,0.0.8.8,Both,"Armas / armaduras / herramientas, Estructuras, Loot / recompensas, Mobs, ... (+1)",false,0,true,11,false,0,false,0,true,31,true,27,true,31,Medio,Bajo,Bajo,Confirmado por archivos internos: contiene features/biome modifiers/worldgen modifiers.
NaturesCompass-1.20.1-1.12.0-forge.jar,naturescompass,Nature's Compass,1.20.1-1.12.0-forge,Both,QoL,false,0,false,0,false,0,false,0,false,0,false,0,true,2,Bajo,Bajo,Bajo,No confirmado
Neruina-2.1.2-forge+1.20.1.jar,"neruina, neruina",Neruina,2.1.2,Both,No confirmado,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
netherite_tweaks_luna-1.2.2-forge-1.20.1.jar,netherite_tweaks_luna,Netherite Tweaks,1.2.2,Both,Worldgen / biomas / terreno,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Medio,Bajo,Bajo,Confirmado por archivos internos: contiene features/biome modifiers/worldgen modifiers.
netherportalfix-forge-1.20-13.0.1.jar,netherportalfix,NetherPortalFix,13.0.1,Both,No confirmado,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
nethersdelight-1.20.1-4.0.jar,nethersdelight,Nether's Delight,1.20.1-4.0,Both,"Loot / recompensas, Mobs, Worldgen / biomas / terreno",false,0,false,0,false,0,false,0,true,2,true,20,true,32,Medio,Bajo,Bajo,Confirmado por archivos internos: contiene features/biome modifiers/worldgen modifiers.
notenoughanimations-forge-1.12.3-mc1.20.1.jar,notenoughanimations,NotEnoughAnimations,1.12.3,Client only,No confirmado,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
Nullscape_1.20.x_v1.2.8.jar,"nullscape, nullscape",Nullscape,1.2.8,Both,"Dimensiones, Estructuras, Loot / recompensas, Worldgen / biomas / terreno",false,0,true,22,true,1,true,8,false,0,true,1,false,0,Alto,Bajo,Bajo,Inferido por nombre: mod de biomas/terreno conocido por tocar generacion base.
obscure_api-18.jar,obscure_api,Obscure API,18,Both,No confirmado,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
OctoLib-FORGE-0.5.0.1+1.20.1.jar,octolib,OctoLib,0.5.0.1,Both,No confirmado,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
OverflowingBars-v8.0.1-1.20.1-Forge.jar,overflowingbars,Overflowing Bars,8.0.1,Client only,Magia,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
packetfixer-3.3.2-1.18-1.20.4-merged.jar,"packetfixer, packetfixer",PacketFixer,3.3.2,Both,Performance,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
passengersportalfix-forge-0.0.2.jar,passengersportalfix,Passengers Portal Fix,0.0.2,Both,No confirmado,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
Patchouli-1.20.1-85-FORGE.jar,patchouli,Patchouli,${file.jarVersion},Both,Librerias / dependencias,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
phantasm-1.1.3.jar,phantasm,End's Phantasm,1.1.3,Both,"Armas / armaduras / herramientas, Estructuras, Loot / recompensas, Mobs, ... (+1)",false,0,true,17,false,0,true,4,true,12,true,88,true,166,Alto,Bajo,Medio,Confirmado por archivos internos: contiene biomas worldgen (2) en dimensiones existentes.
PhilipsRuins1.20.1-5.7.jar,philipsruins,Philips Ruins,5.6,Both,"Dungeons, Estructuras, Loot / recompensas",false,0,true,323,false,0,false,0,false,0,true,45,true,39,Bajo,Medio,Bajo,"Confirmado por archivos internos: anade/modifica estructuras, sin evidencia de terreno base."
PickUpNotifier-v8.0.0-1.20.1-Forge.jar,pickupnotifier,Pick Up Notifier,8.0.0,Client only,No confirmado,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
Placebo-1.20.1-8.6.3.jar,placebo,Placebo,8.6.3,Both,Librerias / dependencias,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
Platform-forge-1.20.1-1.3.4.jar,platform,Platform,1.3.4,Both,Worldgen / biomas / terreno,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Medio,Bajo,Bajo,Confirmado por archivos internos: contiene features/biome modifiers/worldgen modifiers.
player-animation-lib-forge-1.0.2-rc1+1.20.jar,playeranimator,Player Animator,1.0.2-rc1+1.20,Both,No confirmado,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
polymorph-forge-0.49.10+1.20.1.jar,polymorph,Polymorph,0.49.10+1.20.1,Both,QoL,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,Incluye jar-in-jar: spectrelib
puffish_biome_dither-1.0.0-1.19.2-forge.jar,puffish_biome_dither,Pufferfish's Biome Dither,1.0.0,Both,No confirmado,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
PuzzlesLib-v8.1.33-1.20.1-Forge.jar,puzzleslib,Puzzles Lib,8.1.33,Both,Librerias / dependencias,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,"Incluye jar-in-jar: mixinextras, puzzlesaccessapi"
Quark-4.0-462.jar,quark,Quark,${file.jarVersion},Both,"Dungeons, Estructuras, Loot / recompensas, Mobs, ... (+1)",false,0,true,38,false,0,true,2,true,22,true,835,true,1602,Alto,Bajo,Medio,Confirmado por archivos internos: contiene biomas worldgen (1) en dimensiones existentes.
radiantgear-forge-2.2.0+1.20.1.jar,radiantgear,Radiant Gear,2.2.0+1.20.1,Both,No confirmado,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
recipeessentials-1.20.1-4.0.jar,recipeessentials,recipeessentials mod,${file.jarVersion},Both,No confirmado,false,0,false,0,false,0,false,0,false,0,false,0,false,0,Bajo,Bajo,Bajo,No confirmado
